OBJECTID,GEOID20,GROSS_ACRES,LAND_ACRES,WATER_ACRES,NAME,TRACT_NUMB,BASENAME,UVDA_AREA,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,C_DISTRICT,SHAPE_Length,SHAPE_Area
185,53033003301,165.354216761942,165.364651113567,0,Census Tract 33.01,3301,33.01,Ballard,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",6,11177.1813262219,7202858.49355536
186,53033003800,154.333436709205,154.343503988214,0,Census Tract 38,3800,38,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,10392.5315540704,6722791.39419173
187,53033004201,307.406122711562,307.427264740962,0,Census Tract 42.01,4201,42.01,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,18286.1439211159,13390664.2679295
188,53033004301,241.959100407758,241.974485469885,0,Census Tract 43.01,4301,43.01,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,17192.703749828,10539780.5728424
189,53033004901,122.838999359516,122.846957836967,0,Census Tract 49.01,4901,49.01,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",6,9379.65576684679,5350888.21563384
190,53033005000,187.142095662417,187.152673926593,0,Census Tract 50,5000,50,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4,11560.148011522,8151942.29478973
191,53033005801,450.375256198777,450.316198764472,64.302503719665,Census Tract 58.01,5801,58.01,Interbay,12.2,12,Interbay,Interbay,7,25500.0146734055,19618424.6336374
192,53033007002,108.972701052984,108.978662504661,0,Census Tract 70.02,7002,70.02,Queen Anne,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,9490.79905735624,4746869.84532836
193,53033007101,122.324455759138,122.330507589395,0,Census Tract 71.01,7101,71.01,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,9004.94722654019,5328474.60674548
194,53033007102,83.0001477496362,83.0046745270987,0,Census Tract 71.02,7102,71.02,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,11499.9407456685,3615500.89796482
