OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
322,17031081100,322,1028,102800,87.70204634
323,17031081201,323,1838,183800,87.23223789
324,17031081202,324,2039,203900,84.76510131
325,17031081300,325,2031,203100,84.67948186
326,17031081500,326,2972,297200,88.40704821
327,17031081600,327,1318,131800,88.01032006
328,17031081700,328,3709,370900,87.59179234
329,17031838300,329,3501,350100,88.06034563
330,17031071700,330,1612,161200,87.81503806
331,17031070500,331,3036,303600,88.91036149
332,17031071000,332,3237,323700,88.40216061
333,17031140400,333,11799,1179900,87.70277525
334,17031140302,334,4222,422200,86.99768848
335,17031140701,335,2264,226400,87.0739597
336,17031160501,336,3450,345000,88.62469724
337,17031140602,337,3845,384500,88.04412014
338,17031140500,338,4508,450800,87.59875648
339,17031140702,339,4272,427200,87.81503638
340,17031140200,340,3951,395100,87.03628551
341,17031140301,341,1621,162100,87.56243436
342,17031230500,342,5275,527500,89.00332908
343,17031160300,343,4261,426100,87.45492548
344,17031160400,344,6580,658000,87.83725082
345,17031160800,345,6577,657700,88.39543517
346,17031711300,346,3484,348400,91.51502492
347,17031160900,347,6568,656800,87.84040937
348,17031210100,348,8547,854700,88.83284798
349,17031220902,349,3300,330000,88.80868564
350,17031831100,350,13144,1314400,88.76548635
351,17031200200,351,8178,817800,88.81039643
352,17031710300,352,3290,329000,89.99006378
353,17031220702,353,5733,573300,88.89080237
354,17031200300,354,2500,250000,89.19524356
355,17031220901,355,2913,291300,88.7207551
356,17031430101,356,3268,326800,87.18318237
357,17031230400,357,3356,335600,88.65136324
358,17031831200,358,5745,574500,88.92321895
359,17031200402,359,3853,385300,89.19602549
360,17031071300,360,3108,310800,86.75134366
361,17031210501,361,3131,313100,88.87158855
362,17031210502,362,3460,346000,89.10852888
363,17031210601,363,2730,273000,89.65651353
364,17031210602,364,3808,380800,89.21598693
365,17031210700,365,4953,495300,89.09236479
366,17031220500,366,3338,333800,87.85216833
367,17031220602,367,4659,465900,88.45881831
368,17031220601,368,1879,187900,88.45942037
369,17031221000,369,2199,219900,88.59368983
370,17031221100,370,4410,441000,88.31630839
371,17031440300,371,12956,1295600,89.86033849
372,17031440600,372,6669,666900,89.7513327
373,17031490300,373,6316,631600,90.32731118
374,17031710900,374,9926,992600,90.0333646
375,17031834000,375,9832,983200,89.35855249
376,17031842400,376,19656,1965600,90.13751489
377,17031490500,377,14244,1424400,88.98192488
378,17031490600,378,6824,682400,90.30378886
379,17031490800,379,10795,1079500,89.82605013
380,17031711500,380,6459,645900,90.39375369
381,17031730100,381,6561,656100,90.286175
382,17031730500,382,13179,1317900,90.17788156
383,17031710400,383,10009,1000900,90.55544442
384,17031710500,384,7483,748300,90.56026918
385,17031711200,385,11017,1101700,90.61806265
386,17031710600,386,2440,244000,90.9610428
387,17031730300,387,2982,298200,89.94791006
388,17031710700,388,4907,490700,90.66414344
389,17031711100,389,6534,653400,90.82978257
390,17031710800,390,8143,814300,90.60583756
391,17031060300,391,3195,319500,88.20328902
392,17031711000,392,6540,654000,90.62530076
393,17031711400,393,7458,745800,91.51540486
394,17031720100,394,19619,1961900,89.78860308
395,17031730201,395,9978,997800,90.22987586
396,17031730202,396,8715,871500,90.81895316
397,17031720200,397,16720,1672000,92.0085745
398,17031730400,398,12840,1284000,90.5802313
399,17031260500,399,3387,338700,89.17762194
400,17031843400,400,6565,656500,89.22907251
401,17031261000,401,4998,499800,88.59621646
402,17031290900,402,9952,995200,88.89239309
403,17031040401,403,3841,384100,87.6757486
404,17031843000,404,10654,1065400,88.64861898
405,17031260600,405,3168,316800,89.20279498
406,17031040900,406,3208,320800,87.40223493
407,17031260800,407,3294,329400,88.21730174
408,17031270500,408,5609,560900,88.32954161
409,17031260900,409,2274,227400,88.70810812
410,17031271400,410,3297,329700,88.31075296
411,17031271200,411,3281,328100,89.03001877
412,17031271500,412,1620,162000,88.69380944
413,17031151001,413,3296,329600,89.09936365
414,17031271300,414,3268,326800,88.52111272
415,17031838600,415,2442,244200,88.05266309
416,17031837300,416,3671,367100,88.49379567
417,17031661100,417,12980,1298000,89.39106337
418,17031843300,418,5844,584400,88.8393848
419,17031841200,419,6255,625500,88.84017029
420,17031292200,420,3933,393300,89.06543917
421,17031060200,421,3191,319100,87.67718852
422,17031838700,422,6596,659600,88.83605806
423,17031300600,423,3277,327700,89.61752464
424,17031292400,424,3294,329400,89.31418447
425,17031031000,425,4225,422500,87.90833396
426,17031292500,426,9813,981300,88.99157223
427,17031841400,427,2456,245600,89.44927141
428,17031640800,428,3253,325300,89.89637371
429,17031030300,429,3147,314700,85.93027905
430,17031650500,430,32416,3241600,89.24356558
431,17031650400,431,10978,1097800,89.55611118
432,17031030603,432,1154,115400,85.6179021
433,17031700200,433,16144,1614400,89.33570656
434,17031030900,434,4078,407800,86.648531
435,17031030400,435,3448,344800,85.31746527
