OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN
436,17031030706,436,3847,384700,81.26442998
437,17031031200,437,3258,325800,82.89609989
438,17031031300,438,6314,631400,82.15386526
439,17031030604,439,1819,181900,79.78972591
440,17031031400,440,14870,1487000,82.64381281
441,17031031100,441,5497,549700,83.02090899
442,17031030101,442,1229,122900,80.12820877
443,17031030500,443,6176,617600,81.28216968
444,17031030102,444,1142,114200,79.91466731
445,17031030601,445,1390,139000,80.69118337
446,17031030103,446,875,87500,79.50612254
447,17031151200,447,6561,656100,84.35446605
448,17031150800,448,6600,660000,84.25678032
449,17031190402,449,6537,653700,84.79485808
450,17031062500,450,1620,162000,84.5396154
451,17031151002,451,6377,637700,84.22403952
452,17031151100,452,6603,660300,84.59959816
453,17031161200,453,5174,517400,83.94700525
454,17031190200,454,6598,659800,84.26864242
455,17031190300,455,6605,660500,84.34133184
456,17031831700,456,5324,532400,84.01697923
457,17031161300,457,4964,496400,84.11434392
458,17031210400,458,4207,420700,84.07470734
459,17031191000,459,4344,434400,84.49804051
460,17031190702,460,3846,384600,84.469707
461,17031190602,461,6207,620700,84.73525018
462,17031190800,462,6611,661100,84.4234878
463,17031190900,463,3141,314100,84.27716354
464,17031050800,464,1643,164300,84.51827576
465,17031191100,465,8204,820400,84.32304908
466,17031040800,466,2276,227600,82.83377198
467,17031031900,467,2551,255100,82.91619636
468,17031031800,468,2377,237700,83.54238201
469,17031040201,469,7214,721400,83.31641493
470,17031040402,470,6043,604300,83.25738304
471,17031050100,471,3331,333100,83.77634019
472,17031040700,472,3591,359100,83.02827869
473,17031060500,473,2277,227700,83.63490535
474,17031050200,474,6522,652200,84.08554132
475,17031140800,475,7263,726300,83.21860771
476,17031050300,476,3945,394500,83.66708876
477,17031060100,477,3257,325700,83.43768753
478,17031160602,478,5900,590000,83.35648428
479,17031843700,479,12657,1265700,83.93408513
480,17031060400,480,3249,324900,84.04134767
481,17031210900,481,5725,572500,84.33685029
482,17031830700,482,8660,866000,82.33994261
483,17031031700,483,4768,476800,81.59450347
484,17031831900,484,3246,324600,84.23522445
485,17031051200,485,1654,165400,84.49380838
486,17031050700,486,1628,162800,84.47066906
487,17031050600,487,3318,331800,84.1605784
488,17031062600,488,3283,328300,84.90859477
489,17031062700,489,3254,325400,84.67797676
490,17031051300,490,3229,322900,84.37508733
491,17031050900,491,1619,161900,84.02032362
492,17031051000,492,1667,166700,84.07077306
493,17031050500,493,6521,652100,83.87774647
494,17031110300,494,12123,1212300,84.2969862
495,17031110400,495,9338,933800,84.34846897
496,17031150200,496,13247,1324700,83.78874127
497,17031150501,497,6977,697700,83.97171004
498,17031150300,498,13243,1324300,83.54898627
499,17031150401,499,7373,737300,84.19721639
500,17031020802,500,6429,642900,82.97146685
501,17031171100,501,6655,665500,84.04682632
502,17031150402,502,6615,661500,84.2193042
503,17031150502,503,6829,682900,84.06813395
504,17031832100,504,2226,222600,83.60376478
505,17031150600,505,6551,655100,84.16640653
506,17031150700,506,6635,663500,84.38641806
507,17031170100,507,10067,1006700,83.11458007
508,17031170200,508,6520,652000,84.20381535
509,17031170700,509,5791,579100,84.28930567
510,17031170600,510,5679,567900,83.92514662
511,17031160601,511,3281,328100,83.53597028
512,17031170300,512,13983,1398300,83.7129304
513,17031170400,513,7699,769900,84.22258226
514,17031530502,514,7350,735000,84.17437313
515,17031170500,515,15376,1537600,83.6250545
516,17031770902,516,392,39200,84.16649511
517,17031040300,517,7672,767200,82.97677262
518,17031140100,518,2865,286500,83.17093881
519,17031831800,519,19024,1902400,82.93140065
520,17031220400,520,3287,328700,83.96580471
521,17031210800,521,1633,163300,84.13156425
522,17031220300,522,3271,327100,84.0317185
523,17031830900,523,10328,1032800,84.46679563
524,17031161100,524,5759,575900,83.56674976
525,17031310800,525,3315,331500,84.42847714
526,17031161000,526,4262,426200,83.5279304
527,17031190401,527,6544,654400,84.54015356
528,17031190601,528,6910,691000,83.81113475
529,17031020801,529,6531,653100,82.07229921
530,17031491300,530,6470,647000,84.14777275
531,17031491200,531,6483,648300,84.48951214
532,17031530100,532,6505,650500,84.17577721
533,17031020901,533,4876,487600,81.84245733
534,17031491400,534,8281,828100,84.10920395
535,17031491000,535,12763,1276300,84.09046221
536,17031490700,536,6381,638100,84.07597301
537,17031490902,537,11955,1195500,84.25632095
538,17031491100,538,13238,1323800,84.16586947
539,17031260200,539,3262,326200,83.86836271
540,17031530200,540,12952,1295200,84.07456049
541,17031730700,541,9848,984800,83.97262371
542,17031251700,542,4854,485400,84.19290909
543,17031750100,543,12847,1284700,84.22820291
544,17031750600,544,13153,1315300,84.16435947
545,17031070102,545,1249,124900,83.70995079
546,17031530300,546,13087,1308700,84.42667172
547,17031530400,547,13118,1311800,84.43434364
548,17031251000,548,4678,467800,84.60753909
549,17031530501,549,12961,1296100,84.2043496
550,17031530503,550,16162,1616200,84.23619925
551,17031020902,551,5023,502300,82.4012255
552,17031750500,552,26316,2631600,84.18678155
553,17031750200,553,13096,1309600,84.4032716
554,17031821402,554,154,15400,84.31541265
555,17031720700,555,10488,1048800,84.32080209
556,17031061800,556,831,83100,83.04292778
557,17031231500,557,9981,998100,83.6954037
558,17031260100,558,3251,325100,83.76499575
559,17031260300,559,3299,329900,83.95290558
560,17031836700,560,12282,1228200,84.24568111
561,17031837100,561,7417,741700,84.17612706
562,17031251600,562,4810,481000,84.49522935
563,17031842100,563,20310,2031000,84.12001218
564,17031833000,564,13115,1311500,84.70154604
565,17031251800,565,10000,1000000,84.56968699
566,17031836800,566,8175,817500,83.4161827
567,17031280800,567,2380,238000,84.07696095
568,17031282700,568,4401,440100,84.60598625
569,17031271800,569,2078,207800,83.95593069
570,17031837000,570,4123,412300,84.13377343
571,17031836900,571,1658,165800,83.76078959
572,17031837400,572,5922,592200,84.10370957
573,17031310700,573,1603,160300,84.39928386
574,17031283100,574,2115,211500,83.97792854
575,17031063100,575,1608,160800,83.71204002
576,17031832900,576,3998,399800,84.17547577
577,17031838000,577,5380,538000,84.55896612
578,17031310600,578,5438,543800,84.47165088
579,17031310900,579,4852,485200,84.46944418
580,17031833300,580,4790,479000,84.18148338
581,17031130300,581,7215,721500,82.78011531
582,17031833100,582,9235,923500,84.55774114
583,17031283200,583,2379,237900,83.97121452
584,17031838100,584,8194,819400,84.40078895
585,17031838200,585,11570,1157000,84.34490432
586,17031842900,586,22068,2206800,84.26057896
587,17031040100,587,20011,2001100,81.96323171
588,17031040202,588,5893,589300,82.73998125
589,17031020702,589,7065,706500,83.07449952
590,17031060900,590,4991,499100,82.29815454
591,17031061901,591,1609,160900,83.65321849
592,17031063400,592,1586,158600,84.07263592
593,17031062800,593,3250,325000,84.54604599
594,17031061902,594,2729,272900,82.57877748
595,17031062000,595,2236,223600,83.71187108
596,17031062100,596,2444,244400,84.38840388
597,17031062200,597,2422,242200,84.56074221
598,17031062900,598,3260,326000,84.43770481
599,17031063000,599,3224,322400,84.59477534
600,17031063200,600,3664,366400,82.66906715
601,17031063302,601,1212,121200,82.01341168
602,17031063303,602,2357,235700,82.0132108
603,17031070101,603,5666,566600,82.7922073
604,17031070200,604,3404,340400,83.93619973
605,17031070300,605,3255,325500,84.19065322
606,17031070400,606,3238,323800,83.84772684
607,17031832000,607,1684,168400,84.38880259
608,17031061000,608,1730,173000,83.90766737
609,17031061500,609,1633,163300,84.55041182
610,17031063301,610,937,93700,83.36514693
611,17031062300,611,1630,163000,84.44812667
612,17031310400,612,1228,122800,84.37569943
613,17031283800,613,3743,374300,84.33899314
614,17031281900,614,4389,438900,84.80299576
615,17031071100,615,3254,325400,83.32883288
616,17031310200,616,3211,321100,84.53655476
617,17031310300,617,3187,318700,84.27689696
618,17031600600,618,4061,406100,84.56092789
619,17031841900,619,25619,2561900,84.67400098
620,17031600700,620,4857,485700,84.39318579
621,17031843200,621,30903,3090300,84.5819021
622,17031840200,622,8615,861500,84.23317183
623,17031130100,623,18354,1835400,83.02579203
624,17031020602,624,4921,492100,81.99255778
625,17031020301,625,8267,826700,82.89440839
626,17031020302,626,6398,639800,82.32044439
627,17031020601,627,5896,589600,82.9239846
628,17031300500,628,2712,271200,84.49213154
629,17031301803,629,3479,347900,84.85310484
630,17031301801,630,6955,695500,84.59742734
631,17031301701,631,3297,329700,85.15104699
632,17031301702,632,3312,331200,84.76822753
633,17031301802,633,3440,344000,84.7774012
634,17031100100,634,11794,1179400,83.82155252
635,17031100200,635,20909,2090900,83.59370268
636,17031672000,636,9929,992900,84.48667744
637,17031100600,637,12874,1287400,84.31530983
638,17031100700,638,12093,1209300,84.17755945
639,17031222900,639,2207,220700,84.06990197
640,17031110100,640,18400,1840000,83.52649118
641,17031032100,641,4311,431100,82.99161864
642,17031120100,642,27792,2779200,82.75893113
643,17031031502,643,1640,164000,82.71557127
644,17031120200,644,23855,2385500,83.27867977
645,17031090300,645,4764,476400,83.71786348
646,17031090200,646,15283,1528300,83.71140391
647,17031100300,647,22821,2282100,83.16654678
648,17031100500,648,19487,1948700,83.83155661
649,17031060800,649,1804,180400,82.95008856
650,17031760801,650,13011,1301100,83.94937687
651,17031760803,651,7585,758500,83.59195135
652,17031031501,652,1590,159000,83.10749434
653,17031810400,653,3778,377800,84.1582175
654,17031700301,654,12748,1274800,84.4421036
655,17031770602,655,7143,714300,82.49349517
